fixed acidity,volatile acidity,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
6.1,0.27,65,243,0.9957,3.12,0.47000000000000003
6.9,0.24000000000000002,47,136,0.99,3.2600000000000002,0.4
6.9,0.21000000000000002,48,136,0.9899,3.25,0.41000000000000003
7.5,0.17,51,148,0.9916,3.21,0.44
7.1,0.26,62,240,0.9969,3.04,0.42000000000000004
6,0.33999999999999997,26,164,0.9979,3.14,0.5
8.6,0.265,15,80,0.9913,2.9499999999999997,0.36
9.8,0.36,4,83,0.9956,2.8899999999999997,0.3
6,0.33999999999999997,26,164,0.9979,3.14,0.5
7.4,0.25,52,192,0.9974999999999999,3,0.44
7.1,0.12000000000000001,64,162,0.9962,3.4,0.41000000000000003
6,0.21000000000000002,55,164,0.997,3.34,0.39
7.5,0.305,44,170,1,2.9899999999999998,0.46
7.4,0.25,52,192,0.9974999999999999,3,0.44
7.3,0.13,34,109,0.9974,3.2,0.35
7.1,0.12000000000000001,64,162,0.9962,3.4,0.41000000000000003
7.1,0.23,60,171,0.999,3.16,0.59
7.1,0.23,60,171,0.999,3.16,0.59
6.9,0.32999999999999996,37,187,0.9927,3.27,0.6
6.5,0.17,64,163,0.9959,2.8899999999999997,0.39
7.2,0.27,45,255,1,3.04,0.52
7.2,0.31,68,195,0.9982,3.01,0.47000000000000003
6.7,0.41000000000000003,29,150,0.9968,3.22,0.51
6.7,0.41000000000000003,29,150,0.9968,3.22,0.51
5.5,0.48500000000000004,8,103,0.994,3.63,0.4
6,0.31,25,143,0.9914,3.3099999999999996,0.44
7,0.14,16,85,0.9911,3.19,0.42000000000000004
7.2,0.31,68,195,0.9982,3.01,0.47000000000000003
7.3,0.32,57,196,0.9982,3.04,0.5
5.9,0.36,21,87,0.9934,3.22,0.51
7.8,0.24000000000000002,42,138,0.9984,3.01,0.54
7.4,0.16,31,131,0.9952,3.29,0.33999999999999997
6.9,0.19,14,146,0.9952,3.29,0.36
6.4,0.13,40,158,0.9928,3.21,0.36
6.7,0.19,63,143,0.9912,3.27,0.48000000000000004
7.4,0.39,29,126,0.994,3.14,0.42000000000000004
6.5,0.24000000000000002,48,203,0.9958,3.4499999999999997,0.54
6.1,0.3,47,179,0.9924,3.3,0.5700000000000001
6.1,0.3,46,184,0.9924,3.3099999999999996,0.5700000000000001
5.7,0.26,7,57,0.994,3.3899999999999997,0.37
6.5,0.24000000000000002,48,203,0.9958,3.4499999999999997,0.54
6.5,0.42500000000000004,59,241,0.9979,3.23,0.5700000000000001
6.6,0.24000000000000002,46,188,0.9982,3.24,0.51
6.8,0.27,55,203,0.9961,3.19,0.52
6.7,0.27,44,179,0.9979,3.2600000000000002,0.56
8.2,0.23,36,121,0.992,3.12,0.38
7.1,0.37,49,155,0.9974999999999999,3.16,0.44
6.8,0.19,30,96,0.9917,3.15,0.54
8.1,0.28,18,79,0.9923,3.23,0.52
6.3,0.31,20,77,0.9927,3.3,0.43000000000000005
7.1,0.37,49,155,0.9974999999999999,3.16,0.44
7.9,0.21000000000000002,38,107,0.992,3.21,0.54
8.5,0.21000000000000002,24,99,0.9947,3.18,0.53
8.1,0.2,19,87,0.9921,3.12,0.54
6.3,0.255,37,114,0.9904999999999999,3,0.39
5.6,0.16,53,168,0.9918,3.2800000000000002,0.37
6.4,0.595,15,97,0.9951,3.38,0.36
6.3,0.33999999999999997,19,80,0.9917,3.38,0.58
6.9,0.25,23,116,0.994,2.9899999999999998,0.38
7.9,0.22,46,152,0.9934,3.12,0.32
7.6,0.18,58,135,0.9968,3.14,0.43000000000000005
6.9,0.25,23,116,0.994,2.9899999999999998,0.38
7.2,0.18,41,97,0.9919,3.14,0.45
8.2,0.23,12,76,0.9966,3.06,0.8400000000000001
7.4,0.24000000000000002,48,198,0.9979,2.8899999999999997,0.42000000000000004
7.4,0.24000000000000002,48,198,0.9979,2.8899999999999997,0.42000000000000004
6.1,0.32,38,124,0.9898,3.29,0.42000000000000004
5.2,0.44,43,119,0.9894,3.36,0.32999999999999996
5.2,0.44,43,119,0.9894,3.36,0.32999999999999996
6.1,0.32,38,124,0.9898,3.29,0.42000000000000004
6.4,0.22,27,159,0.998,2.98,0.4
6.3,0.36,14,85,0.9932,3.2800000000000002,0.39
7.4,0.24000000000000002,48,198,0.9979,2.8899999999999997,0.42000000000000004
6.7,0.24000000000000002,64,205,0.997,3.15,0.5
7,0.23,72,177,0.9972,3.16,0.49
8.4,0.27,39,197,0.9974,3.14,0.59
6.7,0.46,25,98,0.9896,3.08,0.44
7.5,0.29000000000000004,20,151,0.9968,3.08,0.54
9.8,0.42000000000000004,5,110,0.9958,2.8699999999999997,0.29000000000000004
7.1,0.3,29,133,0.9906,3.12,0.54
7.9,0.19,17,96,0.9917,3.13,0.39
7.6,0.48000000000000004,4,100,0.9902,3.03,0.39
6.3,0.22,31,130,0.9918,3.3499999999999996,0.32999999999999996
7.5,0.27,33,173,0.999,3.09,0.64
6.9,0.23,50,151,0.9927,3.11,0.27
7.2,0.32,19,65,0.991,3.03,0.41000000000000003
5.9,0.23,57,170,0.9972,3.2800000000000002,0.39
6,0.6699999999999999,9,108,0.9931,3.11,0.35
6.4,0.25,41,176,0.995,3.19,0.6799999999999999
6.4,0.32999999999999996,42,173,0.9951,3.19,0.6599999999999999
7.1,0.33999999999999997,61,183,0.9936,3.09,0.43000000000000005
6.8,0.28,48,167,1.001,2.9299999999999997,0.5
6.9,0.27,64,227,0.9979,3.18,0.58
6.8,0.26,64,226,0.997,3.02,0.63
6.8,0.29000000000000004,66,230,0.9972,3.02,0.63
6.7,0.24000000000000002,49,166,0.9954,3.12,0.61
5.9,0.3,42,119,0.9924,3.15,0.5
6.8,0.53,26,109,0.9906,3.2600000000000002,0.5700000000000001
6.5,0.28,54,210,0.9962,3.09,0.54
6.6,0.28,55,211,0.9962,3.09,0.55
6.8,0.28,48,167,1.001,2.9299999999999997,0.5
6.8,0.28,28,123,0.9928,3.02,0.37
6.6,0.15000000000000002,34,125,0.9942,3.36,0.42000000000000004
6.4,0.29000000000000004,75,181,0.9942,3.02,0.41000000000000003
6.4,0.3,76,180,0.9942,3.02,0.39
6.4,0.29000000000000004,75,183,0.9942,3.01,0.38
6.8,0.26,54,214,0.9961,3.13,0.47000000000000003
7.1,0.32,52,204,0.998,3.1,0.49
6.8,0.26,54,214,0.9961,3.13,0.47000000000000003
6.8,0.27,55,196,0.9984,3.15,0.5
7.1,0.32,52,204,0.998,3.1,0.49
6.9,0.54,53,236,0.9973,3.2,0.5
6.8,0.26,39,134,0.9949,3.3299999999999996,0.53
5.8,0.28,36,114,0.9924,3.2800000000000002,0.5
6.4,0.21000000000000002,45,153,0.9972,3.15,0.43000000000000005
7,0.16,38,126,0.9958,3.21,0.33999999999999997
10.2,0.44,20,124,0.9968,2.9899999999999998,0.51
6.8,0.5700000000000001,15,77,0.9938,3.32,0.74
6.1,0.4,23,170,0.993,3.22,0.77
5.6,0.24500000000000002,12,68,0.994,3.3099999999999996,0.33999999999999997
6.8,0.18,35,111,0.9918,3.32,0.59
7,0.16,38,126,0.9958,3.21,0.33999999999999997
6.7,0.13,31,122,0.9944,3.44,0.37
6.2,0.25,35,105,0.9912,3.3,0.44
5.8,0.26,55,152,0.9961,3.3099999999999996,0.38
7.5,0.27,45,164,0.9939,3.03,0.32999999999999996
5.8,0.26,55,152,0.9961,3.3099999999999996,0.38
5.7,0.28,60,167,0.9989,3.3099999999999996,0.44
7.5,0.23,43,161,0.9938,3.04,0.32
7.5,0.27,45,164,0.9939,3.03,0.32999999999999996
7.2,0.6849999999999999,33,172,0.9971,3,0.55
6.2,0.25,35,105,0.9912,3.3,0.44
6.5,0.19,33,144,0.9936,3.42,0.39
6.3,0.495,31,140,0.9929,3.3899999999999997,0.54
7.1,0.24000000000000002,39,145,0.9998,3.32,0.39
6.4,0.17,41,200,0.9938,3.5,0.5
7.1,0.25,66,272,0.9969,3.17,0.52
6.4,0.17,41,200,0.9938,3.5,0.5
7.1,0.24000000000000002,39,145,0.9998,3.32,0.39
6.8,0.64,26,142,0.9972,3.3699999999999997,0.46
8.3,0.28,38,194,0.9976,3.34,0.51
8.2,0.27,49,208,0.9976,3.3099999999999996,0.51
7.2,0.23,55,194,0.9979,3.09,0.44
7.2,0.23,55,194,0.9979,3.09,0.44
7.2,0.23,55,194,0.9979,3.09,0.44
7.2,0.23,55,194,0.9979,3.09,0.44
6.8,0.52,54,221,0.9972,3.27,0.5
7,0.26,40,120,0.9918,3.34,0.41000000000000003
6.2,0.25,28,159,0.9982,3.48,0.64
7.3,0.32,49,197,0.9984999999999999,3.2,0.46
7.7,0.31,23,90,0.9944,3.13,0.5
7.1,0.21000000000000002,23,100,0.9903,3.15,0.38
6.8,0.24000000000000002,64.5,218.5,0.9934,3.3,0.58
6.9,0.4,40,142,0.9974999999999999,3.14,0.46
6.1,0.18,20,249.5,0.9923,3.3699999999999997,0.7899999999999999
6.8,0.21000000000000002,26,139,0.99,3.16,0.61
5.8,0.2,12,77,0.9904999999999999,3.25,0.36
5.6,0.19,12,76,0.9904999999999999,3.25,0.37
6.1,0.41000000000000003,18,119,0.996,3.38,0.45
5.9,0.21000000000000002,40,199,0.9964,3.72,0.7
8.5,0.26,41,197,0.998,3.02,0.5
6.9,0.4,40,142,0.9974999999999999,3.14,0.46
5.8,0.24000000000000002,5,109,0.9913,3.53,0.43000000000000005
5.8,0.24000000000000002,37,158,0.9932,3.21,0.52
6.7,0.26,45,147,0.9934999999999999,3.32,0.58
6.3,0.35,8,97,0.9927,3.27,0.41000000000000003
6.3,0.35,8,97,0.9927,3.27,0.41000000000000003
6.4,0.23,23,118,0.9912,3.32,0.5
5.8,0.36,3,75,0.9904,3.2800000000000002,0.33999999999999997
6.9,0.115,36,108,0.9939,3.32,0.42000000000000004
6.9,0.29000000000000004,36,156,0.9996,2.9299999999999997,0.47000000000000003
6.9,0.28,15,95,0.9944,3.17,0.32999999999999996
7.2,0.29000000000000004,66,231,0.9977,3.08,0.59
6.2,0.24000000000000002,22,167,0.9912,3.1,0.48000000000000004
6.9,0.29000000000000004,36,156,0.9996,2.9299999999999997,0.47000000000000003
6.9,0.32,32,180,0.9964999999999999,3.25,0.51
5.3,0.58,34,149,0.9944,3.34,0.5700000000000001
5.3,0.585,34,145,0.9944999999999999,3.34,0.5700000000000001
5.4,0.59,36,147,0.9944,3.34,0.5700000000000001
6.9,0.32,32,180,0.9964999999999999,3.25,0.51
5.2,0.6,33,147,0.9944,3.3299999999999996,0.58
5.8,0.25,44,148,0.9972,3.29,0.38
6.6,0.58,30,123,0.9949,3.24,0.38
7,0.29000000000000004,59,234,0.9966,3.05,0.61
6.6,0.19,51,169,0.9954,3.14,0.5700000000000001
6.7,0.2,50,166,0.9954,3.14,0.58
7.7,0.26,9,60,0.9914999999999999,2.8899999999999997,0.5
6.8,0.32,14,67,0.9919,3.05,0.47000000000000003
7,0.3,17,105,0.9916,3.2600000000000002,0.6799999999999999
7,0.24000000000000002,22,112,0.99,3.19,0.38
6.1,0.31,36,114,0.9909,3.3,0.6
6.8,0.44,46,201,0.9938,3.08,0.65
6.7,0.33999999999999997,51,196,0.9982,3.19,0.49
7.1,0.35,46,198,0.9988,3.12,0.49
7.3,0.32,47,180,0.9961,3.08,0.47000000000000003
6.5,0.28,51,190,0.9978,3.22,0.51
7.2,0.23,49,192,0.9979,2.98,0.48000000000000004
7.2,0.23,49,192,0.9979,2.98,0.48000000000000004
7.2,0.23,49,192,0.9979,2.98,0.48000000000000004
7.2,0.23,49,192,0.9979,2.98,0.48000000000000004
5.9,0.15000000000000002,53,155,0.9944999999999999,3.52,0.46
7.4,0.28,53,195,1,2.96,0.44
6.2,0.28,26,157,0.9957,3.44,0.64
9.1,0.59,34,182,0.9968,3.23,0.38
6.3,0.32999999999999996,34,175,0.9934,3.3699999999999997,0.54
8.3,0.39,33,169,0.9976,3.09,0.5700000000000001
7.2,0.19,82,187,0.9932,3.19,0.6
7.5,0.17,65,146,0.997,3.17,0.45
6.7,0.17,27,122,0.9923,3.15,0.45
6.1,0.41000000000000003,36,87,0.9914,3.27,0.6699999999999999
8.3,0.2,12,74,0.992,3.13,0.38
6.1,0.41000000000000003,36,87,0.9914,3.27,0.6699999999999999
6,0.29000000000000004,42,168,0.9914,3.32,0.43000000000000005
7.3,0.41000000000000003,41,163,0.9949,3.2,0.41000000000000003
7.3,0.41000000000000003,41,163,0.9949,3.2,0.41000000000000003
7.2,0.43000000000000005,40,163,0.995,3.2,0.41000000000000003
7.3,0.4,41,166,0.995,3.2,0.41000000000000003
6.2,0.32999999999999996,30,134,0.9927,3.2,0.42000000000000004
6.2,0.31,36,148,0.9928,3.21,0.41000000000000003
6.1,0.36,16,100,0.9917,3.4,0.71
5,0.55,35,164,0.9918,3.53,0.51
7.8,0.25,37,149,0.9954,3.36,0.45
5.7,0.36,51,166,0.9941,3.29,0.63
5.8,0.33999999999999997,50,167,0.9941,3.29,0.62
6.8,0.28,42,127,0.9934,3.09,0.44
6.8,0.25,34,134,0.9927,3.21,0.38
6.6,0.24000000000000002,36,135,0.9938,3.19,0.37
5.9,0.3,19,133,0.9933,3.52,0.43000000000000005
6.1,0.125,10,69,0.9934,3.54,0.59
6,0.1,15,65,0.9927,3.61,0.61
6.6,0.24000000000000002,36,135,0.9938,3.19,0.37
6.8,0.25,34,134,0.9927,3.21,0.38
6.8,0.28,35,137,0.9946,3.16,0.36
8.3,0.41000000000000003,11,207,0.993,3.02,0.55
7.9,0.26,38,216,0.9976,2.96,0.6
6.4,0.33999999999999997,37,143,0.9944,3.19,0.65
6.5,0.28,55,195,0.9978,3.23,0.5
7.2,0.21000000000000002,33,85,0.992,3.17,0.51
6.4,0.32,34,101,0.9912,3.36,0.6
6.8,0.24000000000000002,37,135,0.9927,3.2,0.39
6.3,0.23,16,91,0.9906,3.2800000000000002,0.4
6.5,0.28,30,133,0.9954,3.11,0.44
5.6,0.26,12,80,0.9923,3.25,0.38
6.3,0.23,16,91,0.9906,3.2800000000000002,0.4
6.3,0.23,15,105,0.991,3.32,0.42000000000000004
5.8,0.27,55,170,0.9972,3.2800000000000002,0.42000000000000004
5.9,0.26,12,139,0.9944999999999999,3.4499999999999997,0.53
6.6,0.18,49,141,0.9934,3.4299999999999997,0.8500000000000001
7.4,0.2,27,153,0.9964,3.19,0.55
8,0.24000000000000002,17,129,0.9948,3.2,0.54
6.4,0.26,30,140,0.9962,3.18,0.47000000000000003
5.4,0.31,46,144,0.9931,3.29,0.76
5.4,0.29000000000000004,47,145,0.993,3.29,0.75
7.1,0.14500000000000002,33,131,0.9942,3.2800000000000002,0.4
5.6,0.33999999999999997,20,68,0.9906,3.36,0.51
6.7,0.19,75,155,0.9994999999999999,3.2,0.44
7.8,0.18,38,118,0.998,3.15,0.5
7.6,0.17,56,137,0.997,3.15,0.47000000000000003
6.3,0.12000000000000001,47,146,0.9914,3.27,0.74
7.3,0.32999999999999996,32,138,0.992,3.03,0.3
5.5,0.33499999999999996,27,128,0.9924,3.14,0.51
7.3,0.32999999999999996,32,138,0.992,3.03,0.3
5.8,0.4,38.5,245,0.9937,3.25,0.5700000000000001
7.3,0.22,48,191,0.9978,2.8899999999999997,0.38
7.3,0.22,48,191,0.9978,2.8899999999999997,0.38
6.1,0.36,24,169,0.9927,3.15,0.7799999999999999
10,0.2,19,152,0.994,3,0.42000000000000004
6.9,0.24000000000000002,43,161,0.9934999999999999,3.2,0.59
6.4,0.24000000000000002,54,162,0.9968,3.2800000000000002,0.5
7.1,0.365,24,84,0.9941,3.15,0.43000000000000005
6.8,0.15000000000000002,40,127,0.9942,3.4,0.39
7.3,0.22,48,191,0.9978,2.8899999999999997,0.38
6.8,0.16,18,102,0.9923,3.4899999999999998,0.42000000000000004
6,0.26,29,113,0.9912,3.4,0.71
6,0.18,40,143,0.9923,3.4899999999999998,0.62
6.9,0.32999999999999996,39,148,0.9927,3.12,0.45
7.7,0.29000000000000004,36,178,0.9931,3.17,0.64
7.1,0.39,26,72,0.9941,3.17,0.29000000000000004
6.9,0.32999999999999996,39,148,0.9927,3.12,0.45
7.7,0.29000000000000004,36,178,0.9931,3.17,0.64
7.2,0.27,30,149,0.9936,3.1,0.51
5.1,0.32999999999999996,18,89,0.9893,3.51,0.38
5.1,0.32999999999999996,18,89,0.9893,3.51,0.38
6.4,0.31,12,119,0.9919,3.32,0.51
7.3,0.2,21,98,0.9924,3.15,0.46
5.7,0.32,17,155,0.9927,3.22,0.64
6.4,0.31,12,119,0.9919,3.32,0.51
7.3,0.2,21,98,0.9924,3.15,0.46
7.2,0.28,48,179,0.9974999999999999,3.1,0.52
7.5,0.35,26,157,0.9969,3.12,0.53
7.2,0.27,30,149,0.9936,3.1,0.51
6,0.36,20,125,0.991,3.38,0.39
5.1,0.32999999999999996,18,89,0.9893,3.51,0.38
5,0.17,24,115,0.9906,3.48,0.39
6.3,0.39,82.5,260,0.9941,3.12,0.6599999999999999
6.7,0.21000000000000002,29,140,0.995,3.3899999999999997,0.46
7,0.3,60,181,0.9983,3.18,0.61
7,0.3,60,181,0.9983,3.18,0.61
6.5,0.36,13,66,0.9916,3.1,0.46
6.1,0.55,19,125,0.9957,3.36,0.47000000000000003
7.3,0.24000000000000002,20,69,0.99,3.08,0.56
6.8,0.37,62,163,0.9976,3.19,0.44
6.8,0.27,87,168,0.992,3.18,0.41000000000000003
8.2,0.28,30,93,0.9917,3.09,0.39
6.3,0.2,35,107,0.9917,3.46,0.5
5.9,0.26,52,168,0.9993,3.3499999999999996,0.44
6.4,0.19,32,83,0.9908,3.3,0.41000000000000003
6.3,0.2,35,107,0.9917,3.46,0.5
6.8,0.37,62,163,0.9976,3.19,0.44
6.1,0.35,22,108,0.9934,3.23,0.52
7.1,0.27,55,252,1,3.07,0.56
6.8,0.22,33,170,0.9918,3.24,0.6599999999999999
6.8,0.27,87,168,0.992,3.18,0.41000000000000003
5.8,0.28,40,99,0.9896,3.3899999999999997,0.39
6.9,0.49,13,125,0.9932,3.17,0.51
6.3,0.14,26,116,0.992,3.2600000000000002,0.53
8.2,0.28,30,93,0.9917,3.09,0.39
7.2,0.25,42,155,0.9999,2.9699999999999998,0.47000000000000003
7.3,0.28,38,140,0.998,3.3,0.7899999999999999
7.2,0.19,32,85,0.9918,3.16,0.5
7.2,0.19,32,85,0.9918,3.16,0.5
7.2,0.25,42,155,0.9999,2.9699999999999998,0.47000000000000003
7.3,0.28,38,140,0.998,3.3,0.7899999999999999
7.4,0.21000000000000002,27,99,0.9927,3.19,0.32999999999999996
6.8,0.26,57,210,0.9959,3.1,0.47000000000000003
7.4,0.21000000000000002,27,99,0.9927,3.19,0.32999999999999996
7.4,0.31,33,137,0.9929,3.3099999999999996,0.56
7,0.22,41,136,0.9898,3.16,0.37
7,0.21000000000000002,37,222,0.9954,3.25,0.54
7,0.21000000000000002,37,221,0.9954,3.25,0.54
7,0.21000000000000002,37,221,0.9954,3.25,0.54
6.9,0.23,47,162,0.9954,3.34,0.52
7,0.21000000000000002,37,222,0.9954,3.25,0.54
7,0.21000000000000002,37,221,0.9954,3.25,0.54
6.8,0.29000000000000004,48,194,0.9974,3.09,0.45
7.8,0.21000000000000002,20,89,0.9936,3.06,0.46
7.1,0.31,54,197,0.9978,3.1,0.49
6.8,0.29000000000000004,48,194,0.9974,3.09,0.45
6.4,0.33999999999999997,19,84,0.9927,3.21,0.38
7.4,0.15500000000000003,73.5,214,0.9934,3.18,0.61
7.2,0.55,16,151,0.9938,3.07,0.5700000000000001
7,0.23,31,104,0.9922,3.3499999999999996,0.47000000000000003
6.9,0.2,24,97,0.992,3.38,0.49
6.1,0.28,23,218.5,0.9934999999999999,3.27,0.6
6.6,0.16,49,186,0.9906,3.3499999999999996,0.64
7.4,0.15500000000000003,73.5,214,0.9934,3.18,0.61
6.2,0.35,23,108,0.9934,3.2600000000000002,0.54
6.7,0.22,24,102,0.9913,3.29,0.59
6.1,0.38,25,137,0.9938,3.3,0.69
6,0.25,54,126,0.9898,3.4299999999999997,0.65
6.6,0.52,54,245,0.9974999999999999,3.2600000000000002,0.54
6.9,0.24000000000000002,40,139,0.9974999999999999,3.2,0.32999999999999996
7.1,0.32,16,66,0.9937,3.24,0.4
5.8,0.28,30,156,0.9914,3.53,0.42000000000000004
6.5,0.41000000000000003,24,113,0.9982,3.44,0.53
6.5,0.41000000000000003,24,113,0.9982,3.44,0.53
6.4,0.28,34,127,0.9929,3.48,0.56
7.2,0.6,21,174,0.9971,3.03,0.54
6.1,0.2,34,128,0.9921,3.24,0.44
5.9,0.46,27,160,0.9931,3.46,0.51
6,0.27,32,113,0.9924,3.4099999999999997,0.51
6.4,0.28,34,127,0.9929,3.48,0.56
6.4,0.41000000000000003,24,113,0.9982,3.44,0.53
6.3,0.23,11,82,0.9892,3.3,0.4
7.1,0.21000000000000002,26,111,0.9956,2.9499999999999997,0.52
6,0.37,31,218.5,0.9924,3.29,0.72
6.1,0.43000000000000005,83,249,0.9971,3.3699999999999997,0.5
7.1,0.21000000000000002,26,111,0.9956,2.9499999999999997,0.52
7,0.25,40,171,0.9982,3.22,0.45
5.9,0.25,50,162,0.9973,3.3499999999999996,0.38
6.8,0.32,15,68,0.9932,3.17,0.39
7.2,0.39,66,178,0.9976,3.16,0.5
6.3,0.21000000000000002,34,126,0.9962,2.9499999999999997,0.46
7,0.14,54,141,0.9956,3.22,0.43000000000000005
6.8,0.32,15,68,0.9932,3.17,0.39
7.2,0.39,66,178,0.9976,3.16,0.5
7.2,0.29000000000000004,59,182,0.9992,3.09,0.52
8.6,0.37,21,158,0.9983,3,0.73
6.5,0.38,34,200,0.9937,3.14,0.76
6.6,0.24000000000000002,19,86,0.99,3.25,0.45
7,0.17,34,132,0.9944,3.36,0.48000000000000004
5.5,0.16,30,102,0.9938,3.24,0.36
7,0.24000000000000002,55,227,0.9964999999999999,3.03,0.61
7.4,0.28,42,105,0.9893,2.9899999999999998,0.39
7,0.22,29,115,0.9927,3.11,0.55
7.1,0.55,21,165,0.994,2.9699999999999998,0.58
6.3,0.22,67,164,0.9928,3.32,0.56
6.7,0.47000000000000003,31,172,0.9964,3.22,0.6
5.9,0.36,45,104,0.9917,3.3299999999999996,0.51
5.8,0.25,41,137,0.9972,3.34,0.42000000000000004
6.7,0.47000000000000003,31,172,0.9964,3.22,0.6
6.2,0.37,79,200,0.9954,3.29,0.58
6.2,0.18,36,117,0.993,3.4699999999999998,0.54
6,0.16,43,117,0.9928,3.46,0.51
6.6,0.33999999999999997,32,90,0.9916,3.1,0.42000000000000004
7.4,0.29000000000000004,53,180,0.9936,3.34,0.6799999999999999
7.4,0.26,52,177,0.9962,3.13,0.45
